frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,http.request.method,tcp.flags,frame.len
"Apr  3, 2025 09:04:33.689264000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0018","150"
"Apr  3, 2025 09:04:33.689811000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0018","118"
"Apr  3, 2025 09:04:33.690060000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0018","150"
"Apr  3, 2025 09:04:33.690879000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0018","118"
"Apr  3, 2025 09:04:33.691098000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0018","150"
"Apr  3, 2025 09:04:33.691876000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0018","118"
"Apr  3, 2025 09:04:33.692126000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0018","150"
"Apr  3, 2025 09:04:33.729772000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0010","66"
"Apr  3, 2025 09:04:33.730748000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0010","66"
"Apr  3, 2025 09:04:33.731743000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0010","66"
"Apr  3, 2025 09:04:33.732774000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0010","66"
"Apr  3, 2025 09:04:35.833866000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0018","118"
"Apr  3, 2025 09:04:35.836765000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0018","118"
"Apr  3, 2025 09:04:35.836778000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0011","66"
"Apr  3, 2025 09:04:35.840116000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0011","66"
"Apr  3, 2025 09:04:35.841273000 EAT","20.0.0.2","20.0.0.4","22","34966",,"0x0011","66"
"Apr  3, 2025 09:04:35.841316000 EAT","20.0.0.4","20.0.0.2","34966","22",,"0x0010","66"
"Apr  3, 2025 09:04:35.844167000 EAT","20.0.0.2","20.0.0.4","22","34986",,"0x0011","66"
"Apr  3, 2025 09:04:35.844206000 EAT","20.0.0.4","20.0.0.2","34986","22",,"0x0010","66"
"Apr  3, 2025 09:04:37.461151000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0018","118"
"Apr  3, 2025 09:04:37.462173000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0018","118"
"Apr  3, 2025 09:04:37.464411000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0011","66"
"Apr  3, 2025 09:04:37.467198000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0011","66"
"Apr  3, 2025 09:04:37.468876000 EAT","20.0.0.2","20.0.0.4","22","34976",,"0x0011","66"
"Apr  3, 2025 09:04:37.468925000 EAT","20.0.0.4","20.0.0.2","34976","22",,"0x0010","66"
"Apr  3, 2025 09:04:37.471548000 EAT","20.0.0.2","20.0.0.4","22","35002",,"0x0011","66"
"Apr  3, 2025 09:04:37.471594000 EAT","20.0.0.4","20.0.0.2","35002","22",,"0x0010","66"
"Apr  3, 2025 09:04:40.099331000 EAT",,,,,,,"42"
"Apr  3, 2025 09:04:40.099352000 EAT",,,,,,,"42"
"Apr  3, 2025 09:04:40.129246000 EAT","20.0.0.4","20.0.0.2","44215","21",,"0x0002","58"
"Apr  3, 2025 09:04:40.129276000 EAT","20.0.0.2","20.0.0.4","21","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129298000 EAT","20.0.0.4","20.0.0.2","44215","256",,"0x0002","58"
"Apr  3, 2025 09:04:40.129308000 EAT","20.0.0.2","20.0.0.4","256","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129323000 EAT","20.0.0.4","20.0.0.2","44215","135",,"0x0002","58"
"Apr  3, 2025 09:04:40.129333000 EAT","20.0.0.2","20.0.0.4","135","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129347000 EAT","20.0.0.4","20.0.0.2","44215","8888",,"0x0002","58"
"Apr  3, 2025 09:04:40.129357000 EAT","20.0.0.2","20.0.0.4","8888","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129371000 EAT","20.0.0.4","20.0.0.2","44215","1723",,"0x0002","58"
"Apr  3, 2025 09:04:40.129380000 EAT","20.0.0.2","20.0.0.4","1723","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129394000 EAT","20.0.0.4","20.0.0.2","44215","111",,"0x0002","58"
"Apr  3, 2025 09:04:40.129403000 EAT","20.0.0.2","20.0.0.4","111","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129418000 EAT","20.0.0.4","20.0.0.2","44215","5900",,"0x0002","58"
"Apr  3, 2025 09:04:40.129427000 EAT","20.0.0.2","20.0.0.4","5900","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129442000 EAT","20.0.0.4","20.0.0.2","44215","23",,"0x0002","58"
"Apr  3, 2025 09:04:40.129452000 EAT","20.0.0.2","20.0.0.4","23","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129466000 EAT","20.0.0.4","20.0.0.2","44215","995",,"0x0002","58"
"Apr  3, 2025 09:04:40.129475000 EAT","20.0.0.2","20.0.0.4","995","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129489000 EAT","20.0.0.4","20.0.0.2","44215","143",,"0x0002","58"
"Apr  3, 2025 09:04:40.129499000 EAT","20.0.0.2","20.0.0.4","143","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129567000 EAT","20.0.0.4","20.0.0.2","44215","110",,"0x0002","58"
"Apr  3, 2025 09:04:40.129578000 EAT","20.0.0.2","20.0.0.4","110","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129592000 EAT","20.0.0.4","20.0.0.2","44215","587",,"0x0002","58"
"Apr  3, 2025 09:04:40.129602000 EAT","20.0.0.2","20.0.0.4","587","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129616000 EAT","20.0.0.4","20.0.0.2","44215","22",,"0x0002","58"
"Apr  3, 2025 09:04:40.129636000 EAT","20.0.0.2","20.0.0.4","22","44215",,"0x0012","58"
"Apr  3, 2025 09:04:40.129656000 EAT","20.0.0.4","20.0.0.2","44215","22",,"0x0004","54"
"Apr  3, 2025 09:04:40.129677000 EAT","20.0.0.4","20.0.0.2","44215","443",,"0x0002","58"
"Apr  3, 2025 09:04:40.129687000 EAT","20.0.0.2","20.0.0.4","443","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129702000 EAT","20.0.0.4","20.0.0.2","44215","445",,"0x0002","58"
"Apr  3, 2025 09:04:40.129711000 EAT","20.0.0.2","20.0.0.4","445","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129725000 EAT","20.0.0.4","20.0.0.2","44215","199",,"0x0002","58"
"Apr  3, 2025 09:04:40.129734000 EAT","20.0.0.2","20.0.0.4","199","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129748000 EAT","20.0.0.4","20.0.0.2","44215","53",,"0x0002","58"
"Apr  3, 2025 09:04:40.129757000 EAT","20.0.0.2","20.0.0.4","53","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129772000 EAT","20.0.0.4","20.0.0.2","44215","554",,"0x0002","58"
"Apr  3, 2025 09:04:40.129781000 EAT","20.0.0.2","20.0.0.4","554","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129796000 EAT","20.0.0.4","20.0.0.2","44215","993",,"0x0002","58"
"Apr  3, 2025 09:04:40.129805000 EAT","20.0.0.2","20.0.0.4","993","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129820000 EAT","20.0.0.4","20.0.0.2","44215","113",,"0x0002","58"
"Apr  3, 2025 09:04:40.129829000 EAT","20.0.0.2","20.0.0.4","113","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129843000 EAT","20.0.0.4","20.0.0.2","44215","139",,"0x0002","58"
"Apr  3, 2025 09:04:40.129852000 EAT","20.0.0.2","20.0.0.4","139","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129866000 EAT","20.0.0.4","20.0.0.2","44215","80",,"0x0002","58"
"Apr  3, 2025 09:04:40.129880000 EAT","20.0.0.2","20.0.0.4","80","44215",,"0x0012","58"
"Apr  3, 2025 09:04:40.129889000 EAT","20.0.0.4","20.0.0.2","44215","80",,"0x0004","54"
"Apr  3, 2025 09:04:40.129904000 EAT","20.0.0.4","20.0.0.2","44215","8080",,"0x0002","58"
"Apr  3, 2025 09:04:40.129915000 EAT","20.0.0.2","20.0.0.4","8080","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129930000 EAT","20.0.0.4","20.0.0.2","44215","1720",,"0x0002","58"
"Apr  3, 2025 09:04:40.129940000 EAT","20.0.0.2","20.0.0.4","1720","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129956000 EAT","20.0.0.4","20.0.0.2","44215","1025",,"0x0002","58"
"Apr  3, 2025 09:04:40.129965000 EAT","20.0.0.2","20.0.0.4","1025","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.129979000 EAT","20.0.0.4","20.0.0.2","44215","25",,"0x0002","58"
"Apr  3, 2025 09:04:40.129988000 EAT","20.0.0.2","20.0.0.4","25","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130003000 EAT","20.0.0.4","20.0.0.2","44215","3306",,"0x0002","58"
"Apr  3, 2025 09:04:40.130012000 EAT","20.0.0.2","20.0.0.4","3306","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130026000 EAT","20.0.0.4","20.0.0.2","44215","3389",,"0x0002","58"
"Apr  3, 2025 09:04:40.130035000 EAT","20.0.0.2","20.0.0.4","3389","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130049000 EAT","20.0.0.4","20.0.0.2","44215","1122",,"0x0002","58"
"Apr  3, 2025 09:04:40.130058000 EAT","20.0.0.2","20.0.0.4","1122","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130072000 EAT","20.0.0.4","20.0.0.2","44215","3814",,"0x0002","58"
"Apr  3, 2025 09:04:40.130081000 EAT","20.0.0.2","20.0.0.4","3814","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130172000 EAT","20.0.0.4","20.0.0.2","44215","1272",,"0x0002","58"
"Apr  3, 2025 09:04:40.130181000 EAT","20.0.0.2","20.0.0.4","1272","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130196000 EAT","20.0.0.4","20.0.0.2","44215","9102",,"0x0002","58"
"Apr  3, 2025 09:04:40.130205000 EAT","20.0.0.2","20.0.0.4","9102","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130219000 EAT","20.0.0.4","20.0.0.2","44215","99",,"0x0002","58"
"Apr  3, 2025 09:04:40.130227000 EAT","20.0.0.2","20.0.0.4","99","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130241000 EAT","20.0.0.4","20.0.0.2","44215","1104",,"0x0002","58"
"Apr  3, 2025 09:04:40.130250000 EAT","20.0.0.2","20.0.0.4","1104","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130264000 EAT","20.0.0.4","20.0.0.2","44215","7627",,"0x0002","58"
"Apr  3, 2025 09:04:40.130273000 EAT","20.0.0.2","20.0.0.4","7627","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130287000 EAT","20.0.0.4","20.0.0.2","44215","4224",,"0x0002","58"
"Apr  3, 2025 09:04:40.130296000 EAT","20.0.0.2","20.0.0.4","4224","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130310000 EAT","20.0.0.4","20.0.0.2","44215","8899",,"0x0002","58"
"Apr  3, 2025 09:04:40.130319000 EAT","20.0.0.2","20.0.0.4","8899","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130333000 EAT","20.0.0.4","20.0.0.2","44215","5801",,"0x0002","58"
"Apr  3, 2025 09:04:40.130342000 EAT","20.0.0.2","20.0.0.4","5801","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130356000 EAT","20.0.0.4","20.0.0.2","44215","49",,"0x0002","58"
"Apr  3, 2025 09:04:40.130365000 EAT","20.0.0.2","20.0.0.4","49","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130379000 EAT","20.0.0.4","20.0.0.2","44215","1066",,"0x0002","58"
"Apr  3, 2025 09:04:40.130388000 EAT","20.0.0.2","20.0.0.4","1066","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130404000 EAT","20.0.0.4","20.0.0.2","44215","18988",,"0x0002","58"
"Apr  3, 2025 09:04:40.130413000 EAT","20.0.0.2","20.0.0.4","18988","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130428000 EAT","20.0.0.4","20.0.0.2","44215","9943",,"0x0002","58"
"Apr  3, 2025 09:04:40.130437000 EAT","20.0.0.2","20.0.0.4","9943","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130451000 EAT","20.0.0.4","20.0.0.2","44215","9968",,"0x0002","58"
"Apr  3, 2025 09:04:40.130460000 EAT","20.0.0.2","20.0.0.4","9968","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130474000 EAT","20.0.0.4","20.0.0.2","44215","3077",,"0x0002","58"
"Apr  3, 2025 09:04:40.130483000 EAT","20.0.0.2","20.0.0.4","3077","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130497000 EAT","20.0.0.4","20.0.0.2","44215","23502",,"0x0002","58"
"Apr  3, 2025 09:04:40.130506000 EAT","20.0.0.2","20.0.0.4","23502","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130520000 EAT","20.0.0.4","20.0.0.2","44215","2047",,"0x0002","58"
"Apr  3, 2025 09:04:40.130529000 EAT","20.0.0.2","20.0.0.4","2047","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130543000 EAT","20.0.0.4","20.0.0.2","44215","1095",,"0x0002","58"
"Apr  3, 2025 09:04:40.130552000 EAT","20.0.0.2","20.0.0.4","1095","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130566000 EAT","20.0.0.4","20.0.0.2","44215","3826",,"0x0002","58"
"Apr  3, 2025 09:04:40.130575000 EAT","20.0.0.2","20.0.0.4","3826","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130589000 EAT","20.0.0.4","20.0.0.2","44215","1334",,"0x0002","58"
"Apr  3, 2025 09:04:40.130599000 EAT","20.0.0.2","20.0.0.4","1334","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130614000 EAT","20.0.0.4","20.0.0.2","44215","61900",,"0x0002","58"
"Apr  3, 2025 09:04:40.130623000 EAT","20.0.0.2","20.0.0.4","61900","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130638000 EAT","20.0.0.4","20.0.0.2","44215","8292",,"0x0002","58"
"Apr  3, 2025 09:04:40.130656000 EAT","20.0.0.2","20.0.0.4","8292","44215",,"0x0014","54"
"Apr  3, 2025 09:04:40.130678000 EAT","20.0.0.4","20.0.0.2","44215","1026",,"0x0002","58"
"Apr  3, 2025 09:04:40.130687000 EAT","20.0.0.2","20.0.0.4","1026","44215",,"0x0014","54"
